Team,Position,Status,Height,Weight,College,Experience,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,HeightFeet,HeightInches,Salary
TB,DL,Active,"6'1""",312,Washington,2,True,DEF,Greg Gaines,27.0,5th Season,"May 6, 1996",6,1,"$3,500,000"
NYJ,S,Active,"6'1""",202,California,2,True,DEF,Ashtyn Davis,27.0,4th Season,"October 10, 1996",6,1,"$1,229,346"
ATL,S,Active,"6'0""",200,Central Florida,1,True,DEF,Richie Grant,26.0,3rd Season,"November 9, 1997",6,0,"$2,067,091"
PHI,DT,Active,"6'3""",290,Louisiana Tech,1,True,DEF,Milton Williams,24.0,3rd Season,"April 6, 1999",6,3,"$1,277,543"
,LB,Inactive,"6'2""",240,Missouri,1,False,DEF,Terez Hall,27.0,3rd Season,"November 18, 1996",6,2,"$940,000"
KC,LB,Active,"6'2""",227,Indiana,0,True,DEF,Cam Jones,24.0,Rookie,"October 21, 1999",6,2,"$903,333"
CLE,LB,Active,"6'1""",238,Brigham Young,2,True,DEF,Sione Takitaki,28.0,5th Season,"June 8, 1995",6,1,"$2,430,000"
DAL,OT,Injured Reserve,"6'8""",305,North Dakota,1,True,OFF,Matt Waletzko,24.0,2nd Season,"December 15, 1999",6,8,"$995,873"
DEN,ILB,Active,"6'2""",240,Montana State,2,True,DEF,Alex Singleton,30.0,5th Season,"December 7, 1993",6,2,"$6,000,000"
SEA,LB,Active,"6'4""",261,Minnesota,1,True,DEF,Boye Mafe,25.0,2nd Season,"November 3, 1998",6,4,"$2,140,563"
IND,C,Active,"6'4""",314,Texas Tech,1,True,OFF,Jack Anderson,25.0,3rd Season,"October 12, 1998",6,4,"$940,000"
ARI,OLB,Active,"6'4""",260,Tulsa,1,True,DEF,Zaven Collins,24.0,3rd Season,"May 19, 1999",6,4,"$3,672,564"
BUF,DE,Active,"6'3""",240,Georgia,4,True,DEF,Leonard Floyd,31.0,8th Season,"September 8, 1992",6,3,"$7,000,000"
CHI,DB,Active,"6'0""",206,Alabama,3,True,DEF,Eddie Jackson,30.0,7th Season,"December 10, 1993",6,0,"$14,600,000"
LAC,DB,Active,"6'0""",195,Mississippi,1,True,DEF,Deane Leonard,24.0,2nd Season,"November 20, 1999",6,0,"$939,916"
PIT,DE,Active,"6'4""",290,Texas A&M,1,True,DEF,DeMarvin Leal,23.0,2nd Season,"July 1, 2000",6,4,"$1,296,724"
TB,DB,Active,"5'11""",200,Miami (FL),1,True,DEF,Dee Delaney,28.0,3rd Season,"February 20, 1995",5,11,"$940,000"
DAL,CB,Active,"6'0""",190,South Carolina,6,True,DEF,Stephon Gilmore,33.0,12th Season,"September 19, 1990",6,0,"$10,000,000"
NYJ,LB,Active,"6'2""",233,North Carolina,1,True,DEF,Chazz Surratt,26.0,3rd Season,"February 16, 1997",6,2,"$942,500"
CHI,DE,Active,"6'4""",280,Florida State,3,True,DEF,DeMarcus Walker,29.0,7th Season,"September 30, 1994",6,4,"$7,000,000"
NYG,CB,Active,"6'3""",195,Old Dominion,0,True,DEF,Tre Hawkins III,23.0,Rookie,"August 1, 2000",6,3,"$997,380"
BUF,DT,Active,"6'1""",287,Houston,2,True,DEF,Ed Oliver,26.0,5th Season,"December 12, 1997",6,1,"$17,000,000"
NYG,ILB,Active,"6'2""",235,Stanford,2,True,DEF,Bobby Okereke,27.0,5th Season,"July 29, 1996",6,2,"$10,000,000"
WAS,DT,Active,"6'3""",320,Alabama,3,True,DEF,Daron Payne,26.0,6th Season,"May 27, 1997",6,3,"$22,500,000"
SF,DL,Active,"6'2""",310,Central Florida,1,True,DEF,Kalia Davis,25.0,2nd Season,"October 2, 1998",6,2,"$948,004"
WAS,LB,Active,"6'2""",237,Utah,2,True,DEF,Cody Barton,27.0,5th Season,"November 13, 1996",6,2,"$3,500,000"
NYJ,LB,Active,"6'1""",232,Western Michigan,0,True,DEF,Zaire Barnes,24.0,Rookie,"September 3, 1999",6,1,"$1,009,055"
KC,DE,Active,"6'3""",275,Georgia,1,True,DEF,Malik Herring,26.0,3rd Season,"November 9, 1997",6,3,"$816,667"
TB,QB,Active,"6'1""",218,Wake Forest,2,True,OFF,John Wolford,28.0,4th Season,"October 16, 1995",6,1,"$1,010,000"
DET,DL,Active,"6'3""",250,Missouri,3,True,DEF,Charles Harris,28.0,7th Season,"March 6, 1995",6,3,"$6,500,000"
CIN,DE,Active,"6'4""",270,Florida Atlantic,3,True,DEF,Trey Hendrickson,29.0,7th Season,"December 5, 1994",6,4,"$21,000,000"
PHI,OT,Injured Reserve,"6'7""",301,Florida State,3,True,OFF,Roderick Johnson,28.0,6th Season,"November 28, 1995",6,7,"$1,025,400"
TEN,LB,Active,"6'3""",242,Minnesota,0,True,DEF,Jack Gibbens,25.0,1st Season,"November 24, 1998",6,3,"$705,000"
CIN,CB,Active,"5'10""",190,Utah State,2,True,DEF,Jalen Davis,27.0,4th Season,"February 2, 1996",5,10,"$1,215,000"
ATL,OLB,Active,"6'4""",269,Kentucky,4,True,DEF,Bud Dupree,30.0,9th Season,"February 12, 1993",6,4,"$3,000,000"
CLE,G,Injured Reserve,"6'1""",306,Texas Tech,1,True,OFF,Dawson Deaton,24.0,2nd Season,"May 6, 1999",6,1,"$935,735"
KC,DT,Active,"6'1""",280,Missouri S&T,2,True,DEF,Tershawn Wharton,25.0,4th Season,"June 25, 1998",6,1,"$2,025,000"
PIT,DT,Active,"6'5""",307,Arkansas,2,True,DEF,Armon Watts,27.0,5th Season,"July 22, 1996",6,5,"$1,232,500"
TB,C,Injured Reserve,"6'4""",319,Colorado State-Pueblo,5,True,OFF,Ryan Jensen,32.0,10th Season,"May 27, 1991",6,4,"$13,000,000"
ATL,OLB,Active,"6'4""",240,Western Kentucky,1,True,DEF,DeAngelo Malone,24.0,2nd Season,"July 12, 1999",6,4,"$1,307,396"
ARI,DT,Injured Reserve,"6'5""",334,Utah,2,True,DEF,Leki Fotu,25.0,4th Season,"August 23, 1998",6,5,"$1,017,118"
LAR,OLB,Active,"6'2""",275,Florida State,1,True,DEF,Keir Thomas,25.0,2nd Season,"January 25, 1998",6,2,"$705,000"
CLE,DT,Active,"6'4""",303,Missouri,2,True,DEF,Jordan Elliott,26.0,4th Season,"November 23, 1997",6,4,"$1,147,108"
SEA,LB,Active,"6'4""",267,Tennessee,1,True,DEF,Darrell Taylor,26.0,3rd Season,"March 24, 1997",6,4,"$1,691,127"
SEA,DE,Active,"6'5""",300,USC,4,True,DEF,Leonard Williams,29.0,9th Season,"June 20, 1994",6,5,"$21,000,000"
MIA,LB,Active,"6'4""",242,Wisconsin,2,True,DEF,Andrew Van Ginkel,28.0,5th Season,"July 1, 1995",6,4,"$2,650,000"
TB,OLB,Active,"6'7""",271,Iowa,2,True,DEF,Anthony Nelson,26.0,5th Season,"March 4, 1997",6,7,"$5,000,000"
BAL,ILB,Active,"6'0""",230,LSU,2,True,DEF,Patrick Queen,24.0,4th Season,"August 13, 1999",6,0,"$3,040,418"
CAR,OLB,Active,"6'5""",265,Penn State,2,True,DEF,Yetur Gross-Matos,25.0,4th Season,"February 26, 1998",6,5,"$2,049,702"
NE,DB,Active,"6'1""",191,Oregon State,0,True,DEF,Alex Austin,22.0,Rookie,"May 22, 2001",6,1,"$750,000"
MIA,LB,Active,"6'5""",270,South Florida,7,True,DEF,Jason Pierre-Paul,34.0,14th Season,"January 1, 1989",6,5,"$1,165,000"
CAR,S,Active,"6'1""",196,Washington,0,True,DEF,Alex Cook,24.0,Rookie,"May 21, 1999",6,1,"$750,000"
TB,S,Active,"6'0""",212,Iowa,0,True,DEF,Kaevon Merriweather,23.0,Rookie,"December 20, 1999",6,0,"$903,333"
DET,CB,Active,"6'1""",206,Boston College,2,True,DEF,Will Harris,27.0,5th Season,"December 19, 1995",6,1,"$2,582,500"
DAL,DE,Active,"6'3""",265,Boise State,5,True,DEF,DeMarcus Lawrence,31.0,10th Season,"April 28, 1992",6,3,"$13,333,333"
GB,LB,Active,"6'4""",250,Florida,0,True,DEF,Brenton Cox Jr.,23.0,Rookie,"January 30, 2000",6,4,"$901,333"
PIT,DT,Active,"6'7""",293,Wisconsin,1,True,DEF,Isaiahh Loudermilk,26.0,3rd Season,"October 10, 1997",6,7,"$950,072"
NYJ,CB,Active,"5'10""",175,Kentucky,1,True,DEF,Brandin Echols,26.0,3rd Season,"October 16, 1997",5,10,"$913,546"
MIN,CB,Active,"6'0""",194,Clemson,1,True,DEF,Andrew Booth Jr.,23.0,2nd Season,"September 28, 2000",6,0,"$2,076,456"
BUF,WR,Injured Reserve,"6'4""",223,Florida,0,True,OFF,Justin Shorter,23.0,Rookie,"April 17, 2000",6,4,"$1,040,987"
GB,CB,Injured Reserve,"6'0""",194,Georgia,1,True,DEF,Eric Stokes,24.0,3rd Season,"March 1, 1999",6,0,"$2,981,381"
CLE,LB,Active,"6'0""",230,Houston,3,True,DEF,Matthew Adams,28.0,6th Season,"December 12, 1995",6,0,"$1,232,500"
MIN,QB,Active,"6'0""",210,Southern Mississippi,2,True,OFF,Nick Mullens,28.0,5th Season,"March 21, 1995",6,0,"$2,000,000"
CIN,LB,Active,"6'1""",235,Purdue,2,True,DEF,Markus Bailey,26.0,4th Season,"March 7, 1997",6,1,"$852,174"
CHI,DB,Active,"6'1""",200,Penn State,1,True,DEF,Jaquan Brisker,24.0,2nd Season,"April 20, 1999",6,1,"$1,838,885"
IND,LB,Active,"6'1""",236,Michigan,1,True,DEF,Cameron McGrone,23.0,2nd Season,"June 22, 2000",6,1,"$787,500"
NYJ,DL,Active,"6'5""",270,Texas A&M,1,True,DEF,Micheal Clemons,26.0,2nd Season,"August 21, 1997",6,5,"$1,106,024"
SEA,CB,Active,"6'1""",193,Cincinnati,1,True,DEF,Coby Bryant,24.0,2nd Season,"March 29, 1999",6,1,"$1,116,951"
MIA,QB,Active,"6'2""",219,Kansas State,1,True,OFF,Skylar Thompson,26.0,2nd Season,"June 4, 1997",6,2,"$935,554"
ATL,DL,Active,"6'0""",310,Kennesaw State,0,True,DEF,Travis Bell,25.0,Rookie,"October 27, 1998",6,0,"$750,000"
NE,LB,Active,"6'3""",231,Idaho,1,True,DEF,Christian Elliss,24.0,2nd Season,"January 2, 1999",6,3,"$787,500"
ARI,DL,Active,"6'4""",282,Georgia,1,True,DEF,Jonathan Ledbetter,26.0,3rd Season,"September 12, 1997",6,4,"$787,500"
LAC,S,Active,"6'2""",193,Baylor,1,True,DEF,JT Woods,23.0,2nd Season,"June 10, 2000",6,2,"$1,319,111"
NE,DB,Active,"6'2""",222,Lenoir-Rhyne,2,True,DEF,Kyle Dugger,27.0,4th Season,"March 22, 1996",6,2,"$2,082,976"
SF,DL,Active,"6'4""",265,Clemson,2,True,DEF,Clelin Ferrell,26.0,5th Season,"May 17, 1997",6,4,"$2,500,000"
IND,TE,Injured Reserve,"6'7""",253,Virginia,1,True,OFF,Jelani Woods,25.0,2nd Season,"October 9, 1998",6,7,"$1,343,118"
LAC,DL,Active,"6'4""",314,Penn State,4,True,DEF,Austin Johnson,29.0,8th Season,"May 8, 1994",6,4,"$7,000,000"
PHI,DT,Active,"6'3""",292,Texas,0,True,DEF,Moro Ojomo,22.0,Rookie,"August 15, 2001",6,3,"$979,446"
TB,LB,Active,"6'0""",235,Auburn,1,True,DEF,K.J. Britt,24.0,3rd Season,"June 4, 1999",6,0,"$936,574"
TEN,DT,Active,"6'2""",304,Florida International,2,True,DEF,Teair Tart,26.0,4th Season,"February 28, 1997",6,2,"$4,304,000"
DAL,DE,Active,"6'2""",260,Mississippi State,0,True,DEF,Tyrus Wheat,24.0,Rookie,"December 8, 1999",6,2,
GB,S,Active,"5'11""",210,Missouri Western State,2,True,DEF,Jonathan Owens,28.0,5th Season,"July 22, 1995",5,11,"$1,010,000"
LAR,DB,Active,"6'2""",203,Ohio State,2,True,DEF,Jordan Fuller,25.0,4th Season,"March 4, 1998",6,2,"$866,428"
TB,OLB,Active,"6'2""",250,Colorado State,5,True,DEF,Shaquil Barrett,31.0,10th Season,"November 17, 1992",6,2,"$17,000,000"
MIA,S,Active,"6'1""",190,Texas,2,True,DEF,Brandon Jones,25.0,4th Season,"April 2, 1998",6,1,"$1,218,273"
WAS,DE,Active,"6'5""",254,Stanford,2,True,DEF,Casey Toohill,27.0,4th Season,"August 21, 1996",6,5,"$846,758"
CHI,DE,Active,"6'5""",253,Miami (OH),1,True,DEF,Dominique Robinson,25.0,2nd Season,"July 2, 1998",6,5,"$983,289"
LV,CB,Active,"5'10""",190,Wyoming,1,True,DEF,Tyler Hall,25.0,3rd Season,"October 31, 1998",5,10,"$895,000"
ARI,OLB,Active,"6'2""",262,Duke,1,True,DEF,Victor Dimukeje,24.0,3rd Season,"November 18, 1999",6,2,"$910,465"
BUF,OT,Injured Reserve,"6'8""",320,Miami (OH),1,True,OFF,Tommy Doyle,25.0,3rd Season,"May 6, 1998",6,8,"$948,931"
ARI,OLB,Active,"6'3""",253,Penn State,1,True,DEF,Jesse Luketa,24.0,2nd Season,"January 15, 1999",6,3,"$787,500"
BUF,CB,Active,"5'9""",183,Buffalo,2,True,DEF,Cam Lewis,26.0,4th Season,"April 13, 1997",5,9,"$1,185,000"
PHI,CB,Active,"6'1""",210,Samford,4,True,DEF,James Bradberry,30.0,8th Season,"August 4, 1993",6,1,"$12,666,667"
PIT,DB,Active,"6'1""",196,San Diego State,1,True,DEF,Trenton Thompson,25.0,2nd Season,"December 18, 1997",6,1,"$750,000"
BUF,TE,Injured Reserve,"6'7""",251,Central Missouri,1,True,OFF,Zach Davidson,25.0,2nd Season,"July 15, 1998",6,7,"$837,000"
CAR,S,Active,"5'11""",205,Ohio State,4,True,DEF,Vonn Bell,29.0,8th Season,"December 12, 1994",5,11,"$7,500,000"
NE,DL,Active,"6'5""",300,Northwest Missouri State,1,True,DEF,Sam Roberts,25.0,2nd Season,"April 14, 1998",6,5,"$957,869"
NYG,S,Active,"5'9""",196,Memphis,4,True,DEF,Bobby McCain,30.0,9th Season,"August 18, 1993",5,9,"$1,317,500"
NE,LB,Active,"6'2""",244,North Dakota State,3,True,DEF,Chris Board,28.0,6th Season,"July 23, 1995",6,2,"$2,500,000"
CAR,LB,Active,"6'2""",220,Eastern Illinois,4,True,DEF,Kamu Grugier-Hill,29.0,8th Season,"May 16, 1994",6,2,"$1,317,500"
NO,DT,Active,"6'5""",305,Clemson,0,True,DEF,Bryan Bresee,22.0,Rookie,"October 6, 2001",6,5,"$3,065,890"
MIN,WR,Non Football Injury,"6'2""",196,Kansas State,0,True,OFF,Malik Knowles,23.0,Rookie,"August 17, 2000",6,2,"$903,333"
HOU,DT,Injured Reserve,"6'3""",305,Texas,4,True,DEF,Hassan Ridgeway,29.0,8th Season,"November 2, 1994",6,3,"$3,250,000"
TB,OLB,Active,"6'3""",240,Wagner,2,True,DEF,Cam Gill,26.0,4th Season,"December 14, 1997",6,3,"$965,000"
LV,LB,Active,"6'1""",229,Western Michigan,2,True,DEF,Robert Spillane,28.0,5th Season,"December 14, 1995",6,1,"$3,500,000"
NE,DB,Active,"6'2""",205,Texas Tech,5,True,DEF,Cody Davis,34.0,11th Season,"June 6, 1989",6,2,"$2,200,000"
NO,CB,Active,"6'1""",188,Boston College,3,True,DEF,Isaac Yiadom,27.0,6th Season,"February 20, 1996",6,1,"$1,232,500"
NYJ,CB,Active,"6'1""",202,Virginia,2,True,DEF,Bryce Hall,26.0,4th Season,"November 5, 1997",6,1,"$902,701"
JAX,CB,Active,"6'1""",195,Georgia,1,True,DEF,Tyson Campbell,23.0,3rd Season,"March 17, 2000",6,1,"$2,253,776"
LV,CB,Active,"6'0""",195,Illinois,1,True,DEF,Nate Hobbs,24.0,3rd Season,"June 24, 1999",6,0,"$945,763"
SF,LB,Active,"5'11""",227,TCU,0,True,DEF,Dee Winters,23.0,Rookie,"October 17, 2000",5,11,"$993,334"
NYJ,LB,Active,"6'2""",216,Auburn,1,True,DEF,Jamien Sherwood,23.0,3rd Season,"January 12, 2000",6,2,"$958,714"
WAS,TE,Active,"6'8""",240,Arizona State,1,True,OFF,Curtis Hodges,25.0,2nd Season,"July 3, 1998",6,8,"$861,667"
PIT,LB,Active,"6'2""",237,Stanford,3,True,DEF,Blake Martinez,29.0,7th Season,"January 9, 1994",6,2,
HOU,CB,Active,"5'10""",200,Iowa,3,True,DEF,Desmond King,29.0,7th Season,"December 14, 1994",5,10,"$1,080,000"
ARI,DT,Active,"6'4""",286,West Virginia,0,True,DEF,Dante Stills,24.0,Rookie,"December 14, 1999",6,4,"$993,334"
BAL,CB,Active,"5'9""",190,Memphis,3,True,DEF,Arthur Maulet,30.0,7th Season,"July 13, 1993",5,9,"$1,080,000"
MIN,OT,Active,"6'4""",315,Kansas,2,True,OFF,Hakeem Adeniji,26.0,4th Season,"December 8, 1997",6,4,"$1,010,000"
NYG,S,Active,"6'1""",190,Iowa,1,True,DEF,Dane Belton,23.0,2nd Season,"December 7, 2000",6,1,"$1,111,122"
SF,S,Injured Reserve,"6'1""",202,Central Arkansas,3,True,DEF,George Odum,30.0,6th Season,"November 3, 1993",6,1,"$3,166,667"
CLE,DE,Active,"6'5""",267,Alabama-Birmingham,1,True,DEF,Alex Wright,23.0,2nd Season,"September 5, 2000",6,5,"$1,323,394"
NYG,DL,Active,"6'5""",320,Arizona State,1,True,DEF,D.J. Davidson,24.0,2nd Season,"December 16, 1999",6,5,"$1,003,529"
CLE,DT,Active,"6'3""",335,Baylor,0,True,DEF,Siaki Ika,23.0,Rookie,"November 8, 2000",6,3,"$1,365,395"
LV,LB,Injured Reserve,"6'0""",225,Arizona State,1,True,DEF,Darien Butler,23.0,2nd Season,"March 2, 2000",6,0,"$858,333"
BUF,CB,Injured Reserve,"5'11""",192,LSU,3,True,DEF,Tre'Davious White,28.0,7th Season,"January 16, 1995",5,11,"$17,250,000"
DEN,WR,Injured Reserve,"6'1""",210,Appalachian State,1,True,OFF,Jalen Virgil,25.0,2nd Season,"July 13, 1998",6,1,"$857,500"
CHI,DL,Active,"6'1""",311,Baylor,3,True,DEF,Andrew Billings,28.0,7th Season,"March 6, 1995",6,1,"$4,000,000"
CHI,CB,Active,"6'0""",204,Miami (FL),0,True,DEF,Tyrique Stevenson,23.0,Rookie,"May 1, 2000",6,0,"$1,612,375"
PIT,LB,Active,"6'2""",260,Missouri,4,True,DEF,Markus Golden,32.0,9th Season,"March 13, 1991",6,2,"$1,317,500"
PIT,LB,Active,"5'11""",235,Mississippi,1,True,DEF,Mark Robinson,24.0,2nd Season,"August 14, 1999",5,11,"$943,089"
CHI,LB,Active,"6'5""",250,Virginia Tech,3,True,DEF,Tremaine Edmunds,25.0,6th Season,"May 2, 1998",6,5,"$18,000,000"
LAR,DB,Injured Reserve,"5'8""",183,Kansas State,2,True,DEF,Duke Shelley,27.0,5th Season,"October 8, 1996",5,8,"$1,080,000"
GB,WR,Active,"6'4""",208,North Dakota State,1,True,OFF,Christian Watson,24.0,2nd Season,"May 12, 1999",6,4,"$2,310,258"
TEN,WR,Injured Reserve,"5'11""",196,Georgia,0,True,OFF,Kearis Jackson,24.0,Rookie,"December 9, 1999",5,11,"$898,333"
ATL,ILB,Active,"6'0""",240,North Carolina,3,True,DEF,Andre Smith,26.0,6th Season,"April 20, 1997",6,0,"$1,080,000"
DEN,S,Active,"5'11""",200,Oklahoma,1,True,DEF,Delarrin Turner-Yell,24.0,2nd Season,"December 16, 1999",5,11,"$998,264"
SEA,LB,Active,"6'0""",242,Utah State,6,True,DEF,Bobby Wagner,33.0,12th Season,"June 27, 1990",6,0,"$5,500,000"
LV,DT,Active,"6'3""",292,Alabama,0,True,DEF,Byron Young,23.0,Rookie,"November 10, 2000",6,3,"$1,417,178"
DET,CB,Active,"6'0""",174,Marshall,0,True,DEF,Steven Gilmore,24.0,Rookie,"September 17, 1999",6,0,"$903,333"
CHI,CB,Active,"6'0""",196,Utah,2,True,DEF,Jaylon Johnson,24.0,4th Season,"April 19, 1999",6,0,"$1,617,193"
BAL,OL,Non Football Injury,"6'6""",310,USC,0,True,OFF,Andrew Vorhees,24.0,Rookie,"January 21, 1999",6,6,"$985,528"
CIN,S,Injured Reserve,"6'2""",209,Toledo,1,True,DEF,Tycen Anderson,25.0,2nd Season,"June 13, 1998",6,2,"$991,521"
DEN,OLB,Active,"6'4""",257,Ohio State,1,True,DEF,Jonathon Cooper,25.0,3rd Season,"January 8, 1998",6,4,"$895,168"
NE,DB,Active,"5'9""",192,Washington,2,True,DEF,Myles Bryant,25.0,4th Season,"January 2, 1998",5,9,"$2,627,000"
TEN,OLB,Active,"6'3""",254,Ferris State,0,True,DEF,Caleb Murphy,24.0,Rookie,"December 15, 1999",6,3,"$900,000"
NO,DE,Injured Reserve,"6'6""",270,Houston,1,True,DEF,Payton Turner,24.0,3rd Season,"January 7, 1999",6,6,"$3,131,184"
GB,DL,Active,"6'3""",314,UCLA,4,True,DEF,Kenny Clark,28.0,8th Season,"October 4, 1995",6,3,"$17,500,000"
ARI,CB,Active,"5'10""",181,Louisville,0,True,DEF,Kei'Trel Clark,22.0,Rookie,"March 19, 2001",5,10,"$1,012,153"
ATL,RB,Injured Reserve,"5'9""",195,Boise State,1,True,OFF,Avery Williams,25.0,3rd Season,"July 15, 1998",5,9,"$930,038"
,WR,Inactive,"5'11""",181,Tulsa,0,False,OFF,Josh Johnson,24.0,Rookie,"August 10, 1999",5,11,"$1,317,500"
SF,LB,Active,"6'3""",230,Brigham Young,3,True,DEF,Fred Warner,27.0,6th Season,"November 19, 1996",6,3,"$19,045,000"
WAS,CB,Active,"6'1""",197,Penn State,1,True,DEF,Tariq Castro-Fields,24.0,2nd Season,"January 14, 1999",6,1,"$870,000"
MIA,LB,Active,"6'2""",236,Georgia,1,True,DEF,Channing Tindall,23.0,2nd Season,"March 28, 2000",6,2,"$1,261,227"
WAS,DE,Active,"6'4""",257,Arizona,0,True,DEF,Jalen Harris,24.0,Rookie,"February 26, 1999",6,4,"$750,000"
NE,DB,Active,"6'0""",200,LSU,4,True,DEF,Jalen Mills,29.0,8th Season,"April 6, 1994",6,0,"$3,750,000"
CLE,DT,Active,"6'3""",325,Alabama,3,True,DEF,Dalvin Tomlinson,29.0,7th Season,"February 28, 1994",6,3,"$14,250,000"
BAL,OLB,Active,"6'5""",266,South Carolina,5,True,DEF,Jadeveon Clowney,30.0,10th Season,"February 14, 1993",6,5,"$2,500,000"
PHI,LB,Active,"6'2""",230,South Carolina State,3,True,DEF,Shaquille Leonard,28.0,6th Season,"July 27, 1995",6,2,"$1,583,300"
PHI,DT,Active,"6'6""",336,Georgia,1,True,DEF,Jordan Davis,23.0,2nd Season,"January 12, 2000",6,6,"$4,252,320"
SEA,DE,Active,"6'3""",281,Ohio State,2,True,DEF,Dre'Mont Jones,26.0,5th Season,"January 5, 1997",6,3,"$17,176,667"
TEN,CB,Active,"5'11""",181,Rutgers,1,True,DEF,Tre Avery,26.0,2nd Season,"February 26, 1997",5,11,"$853,333"
CLE,S,Active,"6'1""",209,Ohio State,0,True,DEF,Ronnie Hickman,22.0,Rookie,"October 11, 2001",6,1,"$905,000"
HOU,DT,Active,"6'2""",310,Nebraska,4,True,DEF,Maliek Collins,28.0,8th Season,"April 8, 1995",6,2,"$11,500,000"
MIA,CB,Active,"6'0""",195,Presbyterian,6,True,DEF,Justin Bethel,33.0,12th Season,"June 17, 1990",6,0,"$1,317,500"
MIN,S,Active,"6'2""",199,Georgia,1,True,DEF,Lewis Cine,24.0,2nd Season,"October 5, 1999",6,2,"$2,873,538"
ARI,S,Active,"6'0""",199,UCLA,0,True,DEF,Qwuantrezz Knight,26.0,1st Season,"October 10, 1997",6,0,"$832,500"
PHI,LB,Active,"6'2""",238,Georgia,0,True,DEF,Nolan Smith,22.0,Rookie,"January 18, 2001",6,2,"$2,998,102"
GB,LB,Active,"6'1""",227,Boston College,1,True,DEF,Isaiah McDuffie,24.0,3rd Season,"July 21, 1999",6,1,"$902,677"
PHI,CB,Active,"6'0""",190,Mississippi State,5,True,DEF,Darius Slay,32.0,11th Season,"January 1, 1991",6,0,"$14,000,000"
SF,DL,Injured Reserve,"6'4""",273,USC,1,True,DEF,Drake Jackson,22.0,2nd Season,"April 12, 2001",6,4,"$1,473,098"
ARI,OL,Injured Reserve,"6'2""",303,Ohio State,3,True,OFF,Pat Elflein,29.0,7th Season,"July 6, 1994",6,2,"$1,150,000"
CLE,DE,Active,"6'4""",272,Texas A&M,3,True,DEF,Myles Garrett,27.0,7th Season,"December 29, 1995",6,4,"$25,000,000"
DEN,DT,Active,"6'0""",305,Mississippi,3,True,DEF,D.J. Jones,28.0,6th Season,"January 19, 1995",6,0,"$10,000,000"
NYJ,CB,Active,"5'9""",188,Kansas State,3,True,DEF,D.J. Reed,27.0,6th Season,"November 11, 1996",5,9,"$11,000,000"
NYJ,DL,Active,"6'3""",303,Alabama,2,True,DEF,Quinnen Williams,25.0,5th Season,"December 21, 1997",6,3,"$24,000,000"
LV,LB,Active,"6'3""",223,Virginia Tech,1,True,DEF,Divine Deablo,25.0,3rd Season,"August 17, 1998",6,3,"$1,245,208"
CAR,OLB,Injured Reserve,"6'3""",270,Georgia,6,True,DEF,Justin Houston,34.0,13th Season,"January 12, 1989",6,3,"$6,000,000"
DAL,DE,Injured Reserve,"6'4""",267,San Jose State,0,True,DEF,Viliami Fehoko Jr.,24.0,Rookie,"December 16, 1999",6,4,"$1,132,689"
NYJ,CB,Active,"6'1""",200,Illinois,3,True,DEF,Justin Hardee,29.0,7th Season,"February 7, 1994",6,1,"$2,250,000"
ATL,DL,Active,"6'3""",300,Manitoba (Canada),4,True,DEF,David Onyemata,31.0,8th Season,"November 13, 1992",6,3,"$11,666,667"
ATL,CB,Active,"6'1""",202,Ohio State,2,True,DEF,Jeff Okudah,24.0,4th Season,"February 2, 1999",6,1,"$8,382,136"
GB,DL,Active,"6'3""",296,Bowling Green,0,True,DEF,Karl Brooks,23.0,Rookie,"May 8, 2000",6,3,"$1,013,007"
GB,OT,Injured Reserve,"6'8""",314,Virginia Tech,1,True,OFF,Luke Tenuta,24.0,2nd Season,"September 1, 1999",6,8,"$953,171"
IND,CB,Active,"6'3""",215,Michigan State,0,True,DEF,Ameer Speed,24.0,Rookie,"October 11, 1999",6,3,"$993,334"
DEN,CB,Active,"6'0""",193,Iowa,0,True,DEF,Riley Moss,23.0,Rookie,"March 3, 2000",6,0,"$1,361,872"
JAX,LB,Active,"6'2""",230,Yale,3,True,DEF,Foyesade Oluokun,28.0,6th Season,"August 2, 1995",6,2,"$15,000,000"
DET,CB,Active,"5'11""",189,Georgia Southern,2,True,DEF,Kindle Vildor,26.0,4th Season,"December 11, 1997",5,11,"$1,010,000"
HOU,S,Injured Reserve,"5'10""",187,Baylor,2,True,DEF,Grayland Arnold,26.0,4th Season,"September 4, 1997",5,10,"$952,500"
ATL,TE,Injured Reserve,"6'6""",234,Arkansas,1,True,OFF,Feleipe Franks,25.0,3rd Season,"December 22, 1997",6,6,"$813,333"
IND,DE,Active,"6'4""",225,Florida A&M,0,True,DEF,Isaiah Land,23.0,Rookie,"February 5, 2000",6,4,"$900,000"
BAL,CB,Injured Reserve,"5'10""",180,Houston,1,True,DEF,Damarion Williams,25.0,2nd Season,"July 15, 1998",5,10,"$1,041,085"
IND,DE,Active,"6'6""",286,Vanderbilt,1,True,DEF,Dayo Odeyingbo,24.0,3rd Season,"September 24, 1999",6,6,"$1,544,381"
NYG,S,Active,"6'0""",200,Houston,0,True,DEF,Gervarrius Owens,24.0,Rookie,"October 14, 1999",6,0,"$979,444"
LV,RB,Injured Reserve,"5'8""",202,Rice,2,True,OFF,Austin Walter,27.0,4th Season,"August 17, 1996",5,8,"$750,000"
